date,cases,deaths,positive,negative,tested
2020-01-22,0,0.0,,,
2020-01-23,0,0.0,,,
2020-01-24,0,0.0,,,
2020-01-25,0,0.0,,,
2020-01-26,0,0.0,,,
2020-01-27,1,0.0,,,
2020-01-28,1,0.0,,,
2020-01-29,2,0.0,,,
2020-01-30,2,0.0,,,
2020-01-31,2,0.0,,,
2020-02-01,2,0.0,,,
2020-02-02,2,1.0,,,
2020-02-03,2,1.0,,,
2020-02-04,2,1.0,,,
2020-02-05,2,1.0,,,
2020-02-06,2,1.0,,,
2020-02-07,2,1.0,,,
2020-02-08,2,1.0,,,
2020-02-09,2,2.0,,,
2020-02-10,3,2.0,,,
2020-02-11,3,2.0,,,
2020-02-12,2,0.0,,,
2020-02-13,3,2.0,,,
2020-02-14,4,2.0,,,
2020-02-15,4,2.0,,,
2020-02-16,4,2.0,,,
2020-02-17,5,2.0,,,
2020-02-18,5,2.0,,,
2020-02-19,7,2.0,,,
2020-02-20,7,2.0,,,
2020-02-21,9,2.0,,,
2020-02-22,13,2.0,,,
2020-02-23,2,0.0,,,
2020-02-24,2,0.0,,,
2020-02-25,2,0.0,,,
2020-02-26,2,1.0,,,
2020-02-27,2,1.0,,,
2020-02-28,2,1.0,,,
2020-02-29,2,1.0,,,
2020-03-01,13,2.0,,,
2020-03-02,85,4.0,,,
2020-03-03,111,4.0,,,
2020-03-04,134,4.0,,,
2020-03-05,180,4.0,,,
2020-03-06,223,4.0,,,
2020-03-07,255,5.0,,,
2020-03-08,290,7.0,,,
2020-03-09,337,8.0,,,
2020-03-10,390,9.0,,,
2020-03-11,442,9.0,,,
2020-03-12,18,2.0,,,
2020-03-13,504,11.0,,,
2020-03-14,543,11.0,,,
2020-03-15,581,13.0,,,
2020-03-16,655,16.0,,,
2020-03-17,724,19.0,,,
2020-03-18,801,20.0,,,
2020-03-19,875,22.0,,,
2020-03-20,937,23.0,,,
2020-03-21,978,28.0,,,
2020-03-22,1001,28.0,,,
2020-03-23,20,2.0,,,
2020-03-24,1079,31.0,,,
2020-03-25,1135,33.0,,,
2020-03-26,24,2.0,,,
2020-03-27,31,2.0,,,
2020-03-28,40,3.0,,,
2020-03-29,49,3.0,,,
2020-03-30,53,3.0,,,
2020-03-31,70,4.0,,,
2020-04-01,1189,35.0,,,
2020-04-02,1674,53.0,,,
2020-04-03,1715,54.0,,,
2020-04-04,1741,57.0,,,
2020-04-05,1779,63.0,,,
2020-04-06,1820,63.0,,,
2020-04-07,1843,68.0,,,
2020-04-08,1863,72.0,,,
2020-04-09,1899,72.0,,,
2020-04-10,1909,76.0,,,
2020-04-11,1921,76.0,,,
2020-04-12,1246,39.0,,,
2020-04-13,1932,86.0,,,
2020-04-14,1934,91.0,,,
2020-04-15,1946,94.0,,,
2020-04-16,1987,95.0,,,
2020-04-17,2018,98.0,,,
2020-04-18,2040,,,,
2020-04-19,1286,41.0,,,
2020-04-20,1317,42.0,,,
2020-04-21,1359,42.0,,,
2020-04-22,1413,45.0,,,
2020-04-23,1453,46.0,,,
2020-04-24,1528,49.0,,,
2020-04-25,1595,50.0,,,
